STATION,ELEMENT,YEAR,TIME,TEMPERATURE
0-20000-0-11414,T,1962,AVG,5.2
0-20000-0-11414,T,1962,07:00,3.3
0-20000-0-11414,T,1962,14:00,8.2
0-20000-0-11414,T,1962,21:00,4.5
0-20000-0-11414,T,1963,AVG,5.4
0-20000-0-11414,T,1963,07:00,3.6
0-20000-0-11414,T,1963,14:00,8.8
0-20000-0-11414,T,1963,21:00,4.6
0-20000-0-11414,T,1964,AVG,6.1
0-20000-0-11414,T,1964,07:00,4.2
0-20000-0-11414,T,1964,14:00,9.3
0-20000-0-11414,T,1964,21:00,5.3
0-20000-0-11414,T,1965,AVG,5.7
0-20000-0-11414,T,1965,07:00,3.9
0-20000-0-11414,T,1965,14:00,8.8
0-20000-0-11414,T,1965,21:00,5.0
0-20000-0-11414,T,1966,AVG,6.9
0-20000-0-11414,T,1966,07:00,5.3
0-20000-0-11414,T,1966,14:00,9.9
0-20000-0-11414,T,1966,21:00,6.1
0-20000-0-11414,T,1967,AVG,6.9
0-20000-0-11414,T,1967,07:00,5.1
0-20000-0-11414,T,1967,14:00,10.2
0-20000-0-11414,T,1967,21:00,6.1
0-20000-0-11414,T,1968,AVG,6.1
0-20000-0-11414,T,1968,07:00,4.5
0-20000-0-11414,T,1968,14:00,9.2
0-20000-0-11414,T,1968,21:00,5.4
0-20000-0-11414,T,1969,AVG,5.9
0-20000-0-11414,T,1969,07:00,4.0
0-20000-0-11414,T,1969,14:00,9.3
0-20000-0-11414,T,1969,21:00,5.1
0-20000-0-11414,T,1970,AVG,5.6
0-20000-0-11414,T,1970,07:00,4.1
0-20000-0-11414,T,1970,14:00,8.6
0-20000-0-11414,T,1970,21:00,4.9
0-20000-0-11414,T,1971,AVG,6.4
0-20000-0-11414,T,1971,07:00,4.2
0-20000-0-11414,T,1971,14:00,10.1
0-20000-0-11414,T,1971,21:00,5.6
0-20000-0-11414,T,1972,AVG,5.8
0-20000-0-11414,T,1972,07:00,3.9
0-20000-0-11414,T,1972,14:00,9.1
0-20000-0-11414,T,1972,21:00,5.1
0-20000-0-11414,T,1973,AVG,6.2
0-20000-0-11414,T,1973,07:00,4.1
0-20000-0-11414,T,1973,14:00,9.8
0-20000-0-11414,T,1973,21:00,5.3
0-20000-0-11414,T,1974,AVG,6.9
0-20000-0-11414,T,1974,07:00,5.0
0-20000-0-11414,T,1974,14:00,10.0
0-20000-0-11414,T,1974,21:00,6.3
0-20000-0-11414,T,1975,AVG,7.2
0-20000-0-11414,T,1975,07:00,5.5
0-20000-0-11414,T,1975,14:00,10.8
0-20000-0-11414,T,1975,21:00,6.3
0-20000-0-11414,T,1976,AVG,6.6
0-20000-0-11414,T,1976,07:00,4.8
0-20000-0-11414,T,1976,14:00,10.1
0-20000-0-11414,T,1976,21:00,5.7
0-20000-0-11414,T,1977,AVG,6.9
0-20000-0-11414,T,1977,07:00,5.3
0-20000-0-11414,T,1977,14:00,10.1
0-20000-0-11414,T,1977,21:00,6.0
0-20000-0-11414,T,1978,AVG,5.9
0-20000-0-11414,T,1978,07:00,4.4
0-20000-0-11414,T,1978,14:00,9.0
0-20000-0-11414,T,1978,21:00,5.2
0-20000-0-11414,T,1979,AVG,6.2
0-20000-0-11414,T,1979,07:00,4.4
0-20000-0-11414,T,1979,14:00,9.6
0-20000-0-11414,T,1979,21:00,5.3
0-20000-0-11414,T,1980,AVG,5.7
0-20000-0-11414,T,1980,07:00,4.1
0-20000-0-11414,T,1980,14:00,8.7
0-20000-0-11414,T,1980,21:00,4.9
0-20000-0-11414,T,1981,AVG,6.4
0-20000-0-11414,T,1981,07:00,4.8
0-20000-0-11414,T,1981,14:00,9.6
0-20000-0-11414,T,1981,21:00,5.6
0-20000-0-11414,T,1982,AVG,7.1
0-20000-0-11414,T,1982,07:00,5.2
0-20000-0-11414,T,1982,14:00,10.8
0-20000-0-11414,T,1982,21:00,6.2
0-20000-0-11414,T,1983,AVG,7.3
0-20000-0-11414,T,1983,07:00,5.4
0-20000-0-11414,T,1983,14:00,10.8
0-20000-0-11414,T,1983,21:00,6.4
0-20000-0-11414,T,1984,AVG,6.1
0-20000-0-11414,T,1984,07:00,4.4
0-20000-0-11414,T,1984,14:00,9.3
0-20000-0-11414,T,1984,21:00,5.3
0-20000-0-11414,T,1985,AVG,5.8
0-20000-0-11414,T,1985,07:00,4.0
0-20000-0-11414,T,1985,14:00,9.3
0-20000-0-11414,T,1985,21:00,5.0
0-20000-0-11414,T,1986,AVG,6.4
0-20000-0-11414,T,1986,07:00,4.6
0-20000-0-11414,T,1986,14:00,9.8
0-20000-0-11414,T,1986,21:00,5.5
0-20000-0-11414,T,1987,AVG,5.7
0-20000-0-11414,T,1987,07:00,4.0
0-20000-0-11414,T,1987,14:00,8.9
0-20000-0-11414,T,1987,21:00,4.9
0-20000-0-11414,T,1988,AVG,7.1
0-20000-0-11414,T,1988,07:00,5.6
0-20000-0-11414,T,1988,14:00,10.1
0-20000-0-11414,T,1988,21:00,6.4
0-20000-0-11414,T,1989,AVG,7.6
0-20000-0-11414,T,1989,07:00,5.9
0-20000-0-11414,T,1989,14:00,11.0
0-20000-0-11414,T,1989,21:00,6.7
0-20000-0-11414,T,1990,AVG,7.5
0-20000-0-11414,T,1990,07:00,5.7
0-20000-0-11414,T,1990,14:00,10.8
0-20000-0-11414,T,1990,21:00,6.7
0-20000-0-11414,T,1991,AVG,6.3
0-20000-0-11414,T,1991,07:00,4.5
0-20000-0-11414,T,1991,14:00,9.5
0-20000-0-11414,T,1991,21:00,5.6
0-20000-0-11414,T,1992,AVG,7.5
0-20000-0-11414,T,1992,07:00,5.9
0-20000-0-11414,T,1992,14:00,10.5
0-20000-0-11414,T,1992,21:00,6.7
0-20000-0-11414,T,1993,AVG,6.6
0-20000-0-11414,T,1993,07:00,4.9
0-20000-0-11414,T,1993,14:00,9.7
0-20000-0-11414,T,1993,21:00,5.9
0-20000-0-11414,T,1994,AVG,7.9
0-20000-0-11414,T,1994,07:00,6.3
0-20000-0-11414,T,1994,14:00,10.9
0-20000-0-11414,T,1994,21:00,7.2
0-20000-0-11414,T,1995,AVG,6.9
0-20000-0-11414,T,1995,07:00,5.4
0-20000-0-11414,T,1995,14:00,9.6
0-20000-0-11414,T,1995,21:00,6.3
0-20000-0-11414,T,1996,AVG,5.2
0-20000-0-11414,T,1996,07:00,3.6
0-20000-0-11414,T,1996,14:00,8.2
0-20000-0-11414,T,1996,21:00,4.5
0-20000-0-11414,T,1997,AVG,6.9
0-20000-0-11414,T,1997,07:00,5.2
0-20000-0-11414,T,1997,14:00,10.1
0-20000-0-11414,T,1997,21:00,6.2
0-20000-0-11414,T,1998,AVG,7.3
0-20000-0-11414,T,1998,07:00,5.8
0-20000-0-11414,T,1998,14:00,10.0
0-20000-0-11414,T,1998,21:00,6.7
0-20000-0-11414,T,1999,AVG,7.4
0-20000-0-11414,T,1999,07:00,5.9
0-20000-0-11414,T,1999,14:00,10.4
0-20000-0-11414,T,1999,21:00,6.6
0-20000-0-11414,T,2000,AVG,8.0
0-20000-0-11414,T,2000,07:00,6.5
0-20000-0-11414,T,2000,14:00,11.0
0-20000-0-11414,T,2000,21:00,7.3
0-20000-0-11414,T,2001,AVG,7.0
0-20000-0-11414,T,2001,07:00,5.6
0-20000-0-11414,T,2001,14:00,9.9
0-20000-0-11414,T,2001,21:00,6.3
0-20000-0-11414,T,2002,AVG,7.7
0-20000-0-11414,T,2002,07:00,6.2
0-20000-0-11414,T,2002,14:00,10.5
0-20000-0-11414,T,2002,21:00,7.0
0-20000-0-11414,T,2003,AVG,7.5
0-20000-0-11414,T,2003,07:00,5.5
0-20000-0-11414,T,2003,14:00,11.2
0-20000-0-11414,T,2003,21:00,6.6
0-20000-0-11414,T,2004,AVG,7.1
0-20000-0-11414,T,2004,07:00,5.4
0-20000-0-11414,T,2004,14:00,10.4
0-20000-0-11414,T,2004,21:00,6.4
0-20000-0-11414,T,2005,AVG,7.1
0-20000-0-11414,T,2005,07:00,5.1
0-20000-0-11414,T,2005,14:00,10.7
0-20000-0-11414,T,2005,21:00,6.3
0-20000-0-11414,T,2006,AVG,7.6
0-20000-0-11414,T,2006,07:00,5.7
0-20000-0-11414,T,2006,14:00,11.0
0-20000-0-11414,T,2006,21:00,6.8
0-20000-0-11414,T,2007,AVG,8.0
0-20000-0-11414,T,2007,07:00,6.3
0-20000-0-11414,T,2007,14:00,11.1
0-20000-0-11414,T,2007,21:00,7.2
0-20000-0-11414,T,2008,AVG,7.6
0-20000-0-11414,T,2008,07:00,6.1
0-20000-0-11414,T,2008,14:00,10.7
0-20000-0-11414,T,2008,21:00,6.9
0-20000-0-11414,T,2009,AVG,7.4
0-20000-0-11414,T,2009,07:00,5.8
0-20000-0-11414,T,2009,14:00,10.4
0-20000-0-11414,T,2009,21:00,6.6
0-20000-0-11414,T,2010,AVG,6.1
0-20000-0-11414,T,2010,07:00,4.6
0-20000-0-11414,T,2010,14:00,8.9
0-20000-0-11414,T,2010,21:00,5.4
0-20000-0-11414,T,2011,AVG,7.7
0-20000-0-11414,T,2011,07:00,6.0
0-20000-0-11414,T,2011,14:00,11.0
0-20000-0-11414,T,2011,21:00,6.9
0-20000-0-11414,T,2012,AVG,7.3
0-20000-0-11414,T,2012,07:00,5.5
0-20000-0-11414,T,2012,14:00,10.7
0-20000-0-11414,T,2012,21:00,6.5
0-20000-0-11414,T,2013,AVG,6.8
0-20000-0-11414,T,2013,07:00,5.4
0-20000-0-11414,T,2013,14:00,9.7
0-20000-0-11414,T,2013,21:00,5.9
0-20000-0-11414,T,2014,AVG,8.4
0-20000-0-11414,T,2014,07:00,7.0
0-20000-0-11414,T,2014,14:00,11.6
0-20000-0-11414,T,2014,21:00,7.5
0-20000-0-11414,T,2015,AVG,8.4
0-20000-0-11414,T,2015,07:00,6.8
0-20000-0-11414,T,2015,14:00,11.6
0-20000-0-11414,T,2015,21:00,7.5
0-20000-0-11414,T,2016,AVG,7.7
0-20000-0-11414,T,2016,07:00,6.3
0-20000-0-11414,T,2016,14:00,10.8
0-20000-0-11414,T,2016,21:00,6.9
0-20000-0-11414,T,2017,AVG,7.6
0-20000-0-11414,T,2017,07:00,6.1
0-20000-0-11414,T,2017,14:00,10.8
0-20000-0-11414,T,2017,21:00,6.7
0-20000-0-11414,T,2018,AVG,8.6
0-20000-0-11414,T,2018,07:00,6.9
0-20000-0-11414,T,2018,14:00,12.0
0-20000-0-11414,T,2018,21:00,7.7
0-20000-0-11414,T,2019,AVG,8.6
0-20000-0-11414,T,2019,07:00,6.9
0-20000-0-11414,T,2019,14:00,11.9
0-20000-0-11414,T,2019,21:00,7.7
0-20000-0-11414,T,2020,AVG,8.3
0-20000-0-11414,T,2020,07:00,6.7
0-20000-0-11414,T,2020,14:00,11.5
0-20000-0-11414,T,2020,21:00,7.4
0-20000-0-11414,T,2021,AVG,6.8
0-20000-0-11414,T,2021,07:00,5.1
0-20000-0-11414,T,2021,14:00,10.0
0-20000-0-11414,T,2021,21:00,6.0
0-20000-0-11414,T,2022,AVG,8.3
0-20000-0-11414,T,2022,07:00,6.5
0-20000-0-11414,T,2022,14:00,11.8
0-20000-0-11414,T,2022,21:00,7.5
0-20000-0-11414,T,2023,AVG,8.8
0-20000-0-11414,T,2023,07:00,7.3
0-20000-0-11414,T,2023,14:00,12.0
0-20000-0-11414,T,2023,21:00,7.9
0-20000-0-11414,T,2024,AVG,9.2
0-20000-0-11414,T,2024,07:00,7.6
0-20000-0-11414,T,2024,14:00,12.4
0-20000-0-11414,T,2024,21:00,8.3
